insumo,categoria,unidad_base,alias
ACEITE CRISOL X20 LT,ABARROTES,und,( INSUMO ) ACEITE CRISOL X20 LT UNIDAD
ACEITE CRISOL X20 LT,ABARROTES,und,ACEITE CRISOL X20 LT UNIDAD
ACEITE DE AJONJOLI,ABARROTES,L,( INSUMO ) ACEITE DE AJONJOLI BOTELLA
ACEITE DE AJONJOLI,ABARROTES,L,( INSUMO ) ACEITE DE AJONJOLI UNIDAD
ACEITE DE AJONJOLI,ABARROTES,L,ACEITE DE AJONJOLI BOTELLA
ACEITE DE AJONJOLI,ABARROTES,L,ACEITE DE AJONJOLI UNIDAD
ACEITE DE OLIVA,ABARROTES,L,( INSUMO ) ACEITE DE OLIVA LITRO
ACEITE DE OLIVA,ABARROTES,L,ACEITE DE OLIVA LITRO
ACEITE VEGETAL 900ML,ABARROTES,L,( INSUMO ) ACEITE VEGETAL 900ML LITRO
ACEITE VEGETAL 900ML,ABARROTES,L,ACEITE VEGETAL 900ML LITRO
ACEITUNA,ABARROTES,kg,( INSUMO ) ACEITUNA KILOS
ACEITUNA,ABARROTES,kg,ACEITUNA KILOS
AGUA,BAR,L,( INSUMO ) AGUA LITRO
AGUA,BAR,L,AGUA LITRO
AGUA TONICA,BAR,und,( INSUMO ) AGUA TONICA UNIDAD
AGUA TONICA,BAR,und,AGUA TONICA UNIDAD
AJI AMARILLO,VERDURAS,kg,( INSUMO ) AJI AMARILLO KILOS
AJI AMARILLO,VERDURAS,kg,AJI AMARILLO KILOS
AJI LIMO,VERDURAS,kg,( INSUMO ) AJI LIMO KILOS
AJI LIMO,VERDURAS,kg,AJI LIMO KILOS
AJI MIRASOL,VERDURAS,kg,( INSUMO ) AJI MIRASOL KILOS
AJI MIRASOL,VERDURAS,kg,AJI MIRASOL KILOS
AJI PANCA,VERDURAS,kg,( INSUMO ) AJI PANCA KILOS
AJI PANCA,VERDURAS,kg,AJI PANCA KILOS
AJICERO 02 ONZAS,DESCARTABLES,und,( INSUMO ) AJICERO 02 ONZAS UNIDAD
AJICERO 02 ONZAS,DESCARTABLES,und,AJICERO 02 ONZAS UNIDAD
AJINOMOTO,ABARROTES,kg,( INSUMO ) AJINOMOTO KILOS
AJINOMOTO,ABARROTES,kg,AJINOMOTO KILOS
AJO,VERDURAS,kg,( INSUMO ) AJO KILOS
AJO,VERDURAS,kg,AJO KILOS
AJONJO BLANCO,ABARROTES,kg,( INSUMO ) AJONJO BLANCO KILOS
AJONJO BLANCO,ABARROTES,kg,AJONJO BLANCO KILOS
ALCOHOL 70%,OPERATIVO,und,( INSUMO ) ALCOHOL 70% UNIDAD
ALCOHOL 70%,OPERATIVO,und,ALCOHOL 70% UNIDAD
ALMEJA DOCENA,PESCADOS Y MARISCOS,und,( INSUMO ) ALMEJA DOCENA
ALVERJA,VERDURAS,kg,( INSUMO ) ALVERJA KILOS
ALVERJA,VERDURAS,kg,ALVERJA KILOS
ALVERJA PARTIDA,COMIDA DEL PERSONAL,kg,( INSUMO ) ALVERJA PARTIDA KILOS
ALVERJA PARTIDA,COMIDA DEL PERSONAL,kg,ALVERJA PARTIDA KILOS
AMBIENTADOR,PRODUCTOS DE LIMPIEZA,und,( INSUMO ) AMBIENTADOR UNIDAD
AMBIENTADOR,PRODUCTOS DE LIMPIEZA,und,AMBIENTADOR UNIDAD
ANIS ESTRELLA,BAR,und,( INSUMO ) ANIS ESTRELLA UNIDAD
ANIS ESTRELLA,BAR,und,ANIS ESTRELLA UNIDAD
ANTIDERRAPANTE AMARILLO,OPERATIVO,und,( INSUMO ) ANTIDERRAPANTE AMARILLO UNIDAD
ANTIDERRAPANTE AMARILLO,OPERATIVO,und,ANTIDERRAPANTE AMARILLO UNIDAD
APIO,VERDURAS,kg,( INSUMO ) APIO KILOS
APIO,VERDURAS,kg,APIO KILOS
ARROZ PARA EL PERSONAL,COMIDA DEL PERSONAL,kg,( INSUMO ) ARROZ PARA EL PERSONAL KILOS
ARROZ PARA EL PERSONAL,COMIDA DEL PERSONAL,kg,ARROZ PARA EL PERSONAL KILOS
ARROZ VALENTINA X 50KG,ABARROTES,kg,( INSUMO ) ARROZ VALENTINA X 50KG KILO
ARROZ VALENTINA X 50KG,ABARROTES,kg,ARROZ VALENTINA X 50KG KILO
ATUN,COMIDA DEL PERSONAL,und,( INSUMO ) ATUN UNIDAD
ATUN,COMIDA DEL PERSONAL,und,ATUN UNIDAD
AZUCAR BLANCA SACO,BAR,kg,( INSUMO ) AZUCAR BLANCA SACO
AZUCAR ESPLENDA,BAR,und,( INSUMO ) AZUCAR ESPLENDA UNIDAD
AZUCAR ESPLENDA,BAR,und,AZUCAR ESPLENDA UNIDAD
AZUCAR RUBIA SACO,BAR,kg,( INSUMO ) AZUCAR RUBIA SACO
BALON DE GAS DE 45KG,GAS,und,( INSUMO ) BALON DE GAS DE 45KG UNIDAD
BALON DE GAS DE 45KG,GAS,und,BALON DE GAS DE 45KG UNIDAD
BARRACUDA,PESCADOS Y MARISCOS,kg,( INSUMO ) BARRACUDA KILOS
BARRACUDA,PESCADOS Y MARISCOS,kg,BARRACUDA KILOS
BEBIDA CARBONADA EVERVESS 1.5 LT,BAR,und,( INSUMO ) BEBIDA CARBONADA EVERVESS 1.5 LT UNIDAD
BEBIDA CARBONADA EVERVESS 1.5 LT,BAR,und,BEBIDA CARBONADA EVERVESS 1.5 LT UNIDAD
BIDON 80 LT,GASTOS ADMINISTRATIVOS,und,( INSUMO ) BIDON 80 LT UNIDAD
BIDON 80 LT,GASTOS ADMINISTRATIVOS,und,BIDON 80 LT UNIDAD
BISMUTOL,BOTIQUIN,und,( INSUMO ) BISMUTOL UNIDAD
BISMUTOL,BOTIQUIN,und,BISMUTOL UNIDAD
BOLSA BLANCA 21X24,DESCARTABLES,und,( INSUMO ) BOLSA BLANCA 21X24 UNIDAD
BOLSA BLANCA 21X24,DESCARTABLES,und,BOLSA BLANCA 21X24 UNIDAD
BOLSA CON ASA 19X20,DESCARTABLES,und,( INSUMO ) BOLSA CON ASA 19X20 UNIDAD
BOLSA CON ASA 19X20,DESCARTABLES,und,BOLSA CON ASA 19X20 UNIDAD
BOLSA NEGRA X140LT,DESCARTABLES,und,( INSUMO ) BOLSA NEGRA X140LT UNIDAD
BOLSA NEGRA X140LT,DESCARTABLES,und,BOLSA NEGRA X140LT UNIDAD
BOLSAS 14X20,DESCARTABLES,und,( INSUMO ) BOLSAS 14X20 PQT
BOLSAS 14X20,DESCARTABLES,und,BOLSAS 14X20 PQT
BONITO ENTERO,PESCADOS Y MARISCOS,und,( INSUMO ) BONITO ENTERO UNIDAD
BONITO ENTERO,PESCADOS Y MARISCOS,und,BONITO ENTERO UNIDAD
BONITO FILETE,PESCADOS Y MARISCOS,kg,( INSUMO ) BONITO FILETE KILOS
BONITO FILETE,PESCADOS Y MARISCOS,kg,BONITO FILETE KILOS
BROCHA,MANTENIMIENTO,und,( INSUMO ) BROCHA UNIDAD
BROCHA,MANTENIMIENTO,und,BROCHA UNIDAD
BROCOLI,VERDURAS,kg,( INSUMO ) BROCOLI GRAMOS
BROCOLI,VERDURAS,kg,BROCOLI GRAMOS
CABELLO DE ANGEL,COMIDA DEL PERSONAL,und,( INSUMO ) CABELLO DE ANGEL UNIDAD
CABELLO DE ANGEL,COMIDA DEL PERSONAL,und,CABELLO DE ANGEL UNIDAD
CABRILLA,PESCADOS Y MARISCOS,kg,( INSUMO ) CABRILLA KILOS
CABRILLA,PESCADOS Y MARISCOS,kg,CABRILLA KILOS
CAFE,BAR,kg,( INSUMO ) CAFE KILOS
CAFE,BAR,kg,( INSUMO ) CAFE UNIDAD
CAFE,BAR,kg,CAFE KILOS
CAFE,BAR,kg,CAFE UNIDAD
CAJA DE LAPICERO,UTILES DE OFICINA,und,( INSUMO ) CAJA DE LAPICERO UNIDAD
CAJA DE LAPICERO,UTILES DE OFICINA,und,CAJA DE LAPICERO UNIDAD
CAJA DE PANQUITA,ABARROTES,und,( INSUMO ) CAJA DE PANQUITA UNIDAD
CAJA DE PANQUITA,ABARROTES,und,CAJA DE PANQUITA UNIDAD
CALAMAR,PESCADOS Y MARISCOS,kg,( INSUMO ) CALAMAR KILOS
CALAMAR,PESCADOS Y MARISCOS,kg,CALAMAR KILOS
CAMOTE,VERDURAS,kg,( INSUMO ) CAMOTE KILO
CAMOTE,VERDURAS,kg,CAMOTE KILO
CANELA,BAR,kg,( INSUMO ) CANELA KILO
CANELA,BAR,kg,CANELA KILO
CANGREJO,PESCADOS Y MARISCOS,und,( INSUMO ) CANGREJO UNIDAD
CANGREJO,PESCADOS Y MARISCOS,und,CANGREJO UNIDAD
CARNE HUACHALOMO,CARNE,kg,( INSUMO ) CARNE HUACHALOMO GRAMOS
CARNE HUACHALOMO,CARNE,kg,CARNE HUACHALOMO GRAMOS
CARNE MOLIDA,COMIDA DEL PERSONAL,und,( INSUMO ) CARNE MOLIDA KILOS
CARNE MOLIDA,COMIDA DEL PERSONAL,und,( INSUMO ) CARNE MOLIDA UNIDAD
CARNE MOLIDA,COMIDA DEL PERSONAL,und,CARNE MOLIDA KILOS
CARNE MOLIDA,COMIDA DEL PERSONAL,und,CARNE MOLIDA UNIDAD
CARNE PICADA,COMIDA DEL PERSONAL,kg,( INSUMO ) CARNE PICADA KILOS
CARNE PICADA,COMIDA DEL PERSONAL,kg,CARNE PICADA KILOS
CEBOLLA CHINA,VERDURAS,kg,( INSUMO ) CEBOLLA CHINA KILOS
CEBOLLA CHINA,VERDURAS,kg,CEBOLLA CHINA KILOS
CEBOLLA CHINA ATADO,VERDURAS,kg,( INSUMO ) CEBOLLA CHINA ATADO
CEBOLLA ROJA,VERDURAS,kg,( INSUMO ) CEBOLLA ROJA KILOS
CEBOLLA ROJA,VERDURAS,kg,CEBOLLA ROJA KILOS
CERA PARA PISO,PRODUCTOS DE LIMPIEZA,und,( INSUMO ) CERA PARA PISO UNIDAD
CERA PARA PISO,PRODUCTOS DE LIMPIEZA,und,CERA PARA PISO UNIDAD
CHARELLA FILETE,PESCADOS Y MARISCOS,kg,( INSUMO ) CHARELLA FILETE KILOS
CHARELLA FILETE,PESCADOS Y MARISCOS,kg,CHARELLA FILETE KILOS
CHICHA DE JORA,ABARROTES,L,( INSUMO ) CHICHA DE JORA BOTELLA
CHICHA DE JORA,ABARROTES,L,( INSUMO ) CHICHA DE JORA LITRO
CHICHA DE JORA,ABARROTES,L,CHICHA DE JORA BOTELLA
CHICHA DE JORA,ABARROTES,L,CHICHA DE JORA LITRO
CHOCLO,VERDURAS,kg,( INSUMO ) CHOCLO KILOS
CHOCLO,VERDURAS,kg,( INSUMO ) CHOCLO UNIDAD
CHOCLO,VERDURAS,kg,CHOCLO KILOS
CHOCLO,VERDURAS,kg,CHOCLO UNIDAD
CHOROS GRANDES DOCENA,PESCADOS Y MARISCOS,und,( INSUMO ) CHOROS GRANDES DOCENA
CHOROS PEQUEÑOS DOCENA,PESCADOS Y MARISCOS,und,( INSUMO ) CHOROS PEQUEÑOS DOCENA
CHULETA,COMIDA DEL PERSONAL,kg,( INSUMO ) CHULETA KILOS
CHULETA,COMIDA DEL PERSONAL,kg,CHULETA KILOS
CINTA ADHESIVA,UTILES DE OFICINA,und,( INSUMO ) CINTA ADHESIVA UNIDAD
CINTA ADHESIVA,UTILES DE OFICINA,und,CINTA ADHESIVA UNIDAD
COCA COLA 600ML,BAR,und,( INSUMO ) COCA COLA 600ML PQT
